COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ib.1	p_Ia.3.III	p_Ia.4.RS39	p_Ia.3.IV	p_Ia.4.1483	p_Ia.4.II	p_Ia.3.II	p_Ia.3.VI	p_Ia.3.V	p_Ia.3.I	p_Ia.1.I	N_Ib.1	N_Ia.3.III	N_Ia.4.RS39	N_Ia.3.IV	N_Ia.4.1483	N_Ia.4.II	N_Ia.3.II	N_Ia.3.VI	N_Ia.3.V	N_Ia.3.I	N_Ia.1.I
Putative hemolysin	19.078704294848595	0.03927433118586373	0.1470720349407476	Ia.3.III, Ia.3.VI, Ia.3.I	COG3176	GC_00002006, GC_00002014	0	0.2	0	0	0	0	0	0.0851	0	0.6667	0	2	5	4	2	1	7	6	47	8	3	7
Plastocyanin (PetE) (PDB:3BQV)	19.001320226092965	0.04024591666991986	0.15031480163069807	Ia.3.III, Ia.1.I	COG3794	GC_00002334	0	0.4	0	0	0	0	0	0.0213	0	0	0.1429	2	5	4	2	1	7	6	47	8	3	7
UDP-N-acetylglucosamine 2-epimerase (WecB) (PDB:1F6D) (PUBMED:26641313;30389844)	18.85372321352818	0.04216044010738346	0.1570531577822164	Ia.3.III, Ia.3.VI, Ia.3.V	COG0381	GC_00001809, GC_00001819, GC_00002357, GC_00002551, GC_00002738, GC_00002784, GC_00003220, GC_00003292, GC_00003340, GC_00003408, GC_00003594, GC_00003832, GC_00004004, GC_00004129, GC_00004364, GC_00004623, GC_00004648, GC_00004846, GC_00005343, GC_00005387, GC_00005675, GC_00006247, GC_00006805, GC_00007327, GC_00007482, GC_00007538, GC_00007772, GC_00007825, GC_00008070	0.5	0.8	0.5	0	0	0.2857	0	0.6596	0.625	0.3333	0.2857	2	5	4	2	1	7	6	47	8	3	7
tRNA A58 N-methylase Trm61 (Gcd14) (PDB:1I9G)	18.707264001117032	0.04414232618289531	0.1640066061573369	Ia.3.II	COG2519	GC_00003765, GC_00005905	0	0	0	0	0	0	0.3333	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Radical SAM superfamily enzyme YgiQ, UPF0313 family (YgiQ) (PDB:6FD2)	18.151485587183238	0.05246142891895482	0.19440784726998103	Ia.3.III, Ia.4.RS39, Ia.3.II, Ia.3.I	COG1032	GC_00001870, GC_00002670, GC_00003046, GC_00004721, GC_00004868, GC_00005022, GC_00005270, GC_00005845, GC_00005963, GC_00006896	0	0.6	0.75	0	0	0	0.3333	0.1915	0.125	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
DNA-cytosine methylase (Dcm) (PDB:3LX6)	18.115153041678887	0.05305196326123797	0.19608556810582242	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.3.I	COG0270	GC_00002387, GC_00002959, GC_00003542, GC_00003700, GC_00003821, GC_00003842, GC_00003906, GC_00004353, GC_00004429, GC_00004848, GC_00005277, GC_00005433, GC_00006195, GC_00007373	1	0.4	0.25	0.5	0	0.1429	0	0.1915	0	0.6667	0.1429	2	5	4	2	1	7	6	47	8	3	7
Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)	17.9523090926987	0.05577346771583871	0.20561047813377845	Ib.1, Ia.1.I	COG3119	GC_00003465, GC_00007339	0.5	0	0	0	0	0	0	0.0213	0	0	0.1429	2	5	4	2	1	7	6	47	8	3	7
Predicted phosphodiesterase, calcineurin family (YfcE) (PDB:1SU1) (PUBMED:17586769)	17.591687859718323	0.06225447854649365	0.22370738124156683	Ia.3.III	COG0622	GC_00005974	0	0.2	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
3',5'-cyclic AMP phosphodiesterase CpdA (CpdA) (PDB:2ZO9)	17.591687859718323	0.06225447854649365	0.22370738124156683	Ia.3.III	COG1409	GC_00007457	0	0.2	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Leucine-rich repeat (LRR) protein (LRR) (PDB:4OW2)	17.591687859718323	0.06225447854649365	0.22370738124156683	Ia.3.III	COG4886	GC_00007304	0	0.2	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Copper(I)-binding protein (PDB:1X9L)	17.591687859718323	0.06225447854649365	0.22370738124156683	Ia.3.III	COG2847	GC_00005934	0	0.2	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Asp/Glu/hydantoin racemase (Dcg1)	17.591687859718323	0.06225447854649365	0.22370738124156683	Ia.3.III	COG4126	GC_00007773	0	0.2	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, DUF697 family	17.591687859718323	0.06225447854649365	0.22370738124156683	Ia.3.III	COG3597	GC_00005079	0	0.2	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
N6-adenosine-specific RNA methylase IME4 (IME4) (PDB:5IL0)	17.591687859718323	0.06225447854649365	0.22370738124156683	Ia.3.III	COG4725	GC_00004244	0	0.2	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
DNA-binding ferritin-like protein (oxidative damage protectant) (Dps) (PDB:1DPS)	17.591687859718323	0.06225447854649365	0.22370738124156683	Ia.3.III	COG0783	GC_00007830	0	0.2	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family (Sco1) (PDB:1ON4)	17.591687859718323	0.06225447854649365	0.22370738124156683	Ia.3.III	COG1999	GC_00005611	0	0.2	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
ATP-dependent Clp protease, ATP-binding subunit ClpA (ClpA) (PDB:1KSF)	17.591687859718323	0.06225447854649365	0.22370738124156683	Ia.3.III	COG0542	GC_00004287	0	0.2	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Oxalate decarboxylase/archaeal phosphoglucose isomerase, cupin superfamily (OxdD) (PDB:2VQA)	17.160177084049778	0.07089395989351846	0.2541110955377249	Ia.3.VI	COG2140	GC_00001556	0	0	0	0	0	0	0	0.3191	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Dienelactone hydrolase (DLH) (PDB:4ZV9)	17.014775730410406	0.07403766929475991	0.2647125713729732	Ia.3.III, Ia.3.VI, Ia.3.I	COG0412	GC_00001994, GC_00002266, GC_00007559, GC_00007596	0	0.6	0	0	0	0	0	0.1702	0	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
Capsule polysaccharide export protein KpsC/LpsZ (KpsC) (PDB:5FA0)	16.816527977343714	0.07852361822615267	0.2800478915684593	Ia.3.III, Ia.3.IV, Ia.3.II, Ia.3.V, Ia.1.I	COG3563	GC_00003858, GC_00004828, GC_00006046, GC_00006304, GC_00006569, GC_00007219, GC_00007629	0	0.2	0	0.5	0	0	0.3333	0.0213	0.25	0	0.1429	2	5	4	2	1	7	6	47	8	3	7
Mannitol-1-phosphate/altronate dehydrogenases (MtlD) (PDB:1LJ8)	16.78830608001609	0.07918144918913256	0.28168800549033907	Ia.3.II, Ia.3.VI	COG0246	GC_00001532	0	0	0	0	0	0	0.5	0.2979	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Sialic acid synthase SpsE, contains C-terminal SAF domain (SpsE) (PDB:1VLI)	16.57605892174784	0.08428703657817485	0.2991033741913786	Ib.1, Ia.3.III, Ia.4.RS39, Ia.4.1483, Ia.4.II, Ia.3.VI	COG2089	GC_00001598, GC_00001758, GC_00001810, GC_00001815, GC_00001824, GC_00002003, GC_00002442, GC_00002476, GC_00002581, GC_00002595, GC_00002641, GC_00002785, GC_00002803, GC_00002862, GC_00003011, GC_00003275, GC_00003294, GC_00003359, GC_00003427, GC_00003798, GC_00004075, GC_00004121, GC_00004139, GC_00004311, GC_00004355, GC_00004371, GC_00004821, GC_00004974, GC_00005104, GC_00005162, GC_00005237, GC_00005337, GC_00005522, GC_00005831, GC_00005880, GC_00005936, GC_00006315, GC_00006380, GC_00006488, GC_00006489, GC_00006599, GC_00006639, GC_00006742, GC_00006821, GC_00006905, GC_00007108, GC_00007111, GC_00007225, GC_00007233, GC_00007264, GC_00007333, GC_00007368, GC_00007414, GC_00007562, GC_00007575, GC_00007787	1	1	1	0.5	1	0.8571	0.8333	0.9149	0.75	0.6667	0.4286	2	5	4	2	1	7	6	47	8	3	7
Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family (PptA) (PDB:1BJP)	16.42857717196488	0.08800362421838098	0.3115153165740202	Ia.4.RS39, Ia.4.II	COG1942	GC_00003879	0	0	0.25	0	0	0.1429	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Acetyltransferase, isoleucine patch superfamily (WbbJ)	16.135008415495708	0.09583230264190022	0.33838552520948884	Ia.3.VI	COG0110	GC_00002328, GC_00002566, GC_00003033, GC_00004117, GC_00004514, GC_00005653, GC_00006326, GC_00006453, GC_00007101, GC_00007303, GC_00008174	0	0	0	0	0	0	0	0.3404	0.125	0	0	2	5	4	2	1	7	6	47	8	3	7
Membrane proteinase PrsW, cleaves anti-sigma factor RsiW, M82 family (PrsW)	15.954445335038224	0.10094390176974455	0.3555524064810556	Ia.3.III, Ia.3.IV, Ia.3.V, Ia.1.I	COG2339	GC_00002212, GC_00002233, GC_00003635	0	0.2	0	0.5	0	0	0	0.1064	0.5	0	0.1429	2	5	4	2	1	7	6	47	8	3	7
DNA-binding transcriptional regulator LsrR, DeoR family (DeoR) (PDB:2GNP) (PUBMED:23974133;24893262)	15.810794644555084	0.1051782350780078	0.36955216917532124	Ia.3.VI	COG2390	GC_00001595	0	0	0	0	0	0	0	0.2979	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein L36 (RpmJ) (PDB:1DFE) (PUBMED:21627333)	15.776742327754368	0.10620425597324559	0.3722380695811046	Ib.1, Ia.3.IV, Ia.3.V, Ia.3.I	COG0257	GC_00001504	0.5	0	0	0.5	0	0	0.1667	0.1702	0.5	0.6667	0.1429	2	5	4	2	1	7	6	47	8	3	7
DNA mismatch repair ATPase MutL (MutL) (PDB:1B62)	15.556977132855536	0.11303626176639545	0.39521032062304845	Ia.3.VI, Ia.1.I	COG0323	GC_00002682, GC_00003172, GC_00005064, GC_00007253	0	0	0	0	0	0	0	0.0851	0	0	0.4286	2	5	4	2	1	7	6	47	8	3	7
GDP-D-mannose dehydratase (Gmd) (PDB:1DB3)	15.51808295883242	0.11428399181801337	0.39859343224762994	Ib.1, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1089	GC_00001214, GC_00001652, GC_00002033, GC_00002443, GC_00002846, GC_00002923, GC_00003331, GC_00003398, GC_00003593, GC_00003972, GC_00004069, GC_00004866, GC_00004870, GC_00005042, GC_00005406, GC_00005984, GC_00006104, GC_00007129, GC_00007146	1	0.6	0.75	1	1	0.4286	1	0.5957	0.875	1	1	2	5	4	2	1	7	6	47	8	3	7
Spore coat polysaccharide biosynthesis protein SpsF, cytidylyltransferase family (SpsF)	15.39112163150524	0.11843955032103967	0.4120769684763801	Ib.1, Ia.4.RS39, Ia.4.1483, Ia.4.II, Ia.3.VI	COG1861	GC_00001833, GC_00003006, GC_00003341, GC_00003441, GC_00003712, GC_00004461, GC_00004606, GC_00004767, GC_00004871, GC_00004890, GC_00005010, GC_00005137, GC_00005330, GC_00005582, GC_00006090, GC_00006664, GC_00007157, GC_00008161	0.5	0.2	0.75	0	1	0.2857	0	0.3404	0.25	0	0	2	5	4	2	1	7	6	47	8	3	7
Serine protease, subtilisin family (AprE) (PDB:1SCJ)	15.362798974421182	0.11938402611656865	0.41434992478994437	Ib.1, Ia.4.II, Ia.3.I	COG1404	GC_00003505, GC_00005437, GC_00006972, GC_00007270	0.5	0	0	0	0	0.1429	0	0.0426	0	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
Endo-1,4-beta-xylanase, GH35 family (XynA) (PDB:1B30)	15.175903399777548	0.12577913024901413	0.43548346069184213	Ia.3.V	COG3693	GC_00002145	0	0	0	0	0	0	0	0.0638	0.375	0	0	2	5	4	2	1	7	6	47	8	3	7
CMP-N-acetylneuraminic acid synthetase, NeuA/PseF family (NeuA) (PDB:1EYR)	15.111763767174232	0.1280399697101723	0.4422351381009107	Ib.1, Ia.3.III, Ia.4.RS39, Ia.4.1483, Ia.3.VI	COG1083	GC_00001829, GC_00002537, GC_00002627, GC_00002628, GC_00002646, GC_00002914, GC_00003061, GC_00003078, GC_00003209, GC_00003299, GC_00003349, GC_00003375, GC_00003457, GC_00003559, GC_00003786, GC_00003805, GC_00003867, GC_00004092, GC_00004122, GC_00004200, GC_00004249, GC_00004409, GC_00004569, GC_00004859, GC_00004874, GC_00004964, GC_00005050, GC_00005177, GC_00005385, GC_00005408, GC_00005412, GC_00005604, GC_00005661, GC_00005801, GC_00005876, GC_00006266, GC_00006349, GC_00006354, GC_00006361, GC_00006637, GC_00006750, GC_00006865, GC_00006950, GC_00006997, GC_00007007, GC_00007026, GC_00007061, GC_00007075, GC_00007080, GC_00007183, GC_00007226, GC_00007314, GC_00007334, GC_00007342, GC_00007386, GC_00007446, GC_00007456, GC_00007633, GC_00007674, GC_00007789, GC_00007872, GC_00008134, GC_00008173	1	0.8	1	0.5	1	0.7143	0.6667	0.8511	0.625	0.6667	0.2857	2	5	4	2	1	7	6	47	8	3	7
ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase (RfaE) (PDB:5X9Q)	14.9077725249538	0.13546065790118342	0.4667324847297434	Ia.4.RS39, Ia.3.V, Ia.3.I, Ia.1.I	COG2870	GC_00002402, GC_00002531, GC_00003357, GC_00003551, GC_00003665, GC_00004073, GC_00004423, GC_00004915, GC_00005795, GC_00006292, GC_00006306, GC_00006507, GC_00006520, GC_00006572, GC_00007180, GC_00007976	0	0	0.25	0	0	0	0.1667	0.1915	0.375	0.6667	0.5714	2	5	4	2	1	7	6	47	8	3	7
UDP-2,3-diacylglucosamine pyrophosphatase LpxH (LpxH) (PDB:5WLY)	14.841139986481108	0.13796183955810457	0.4707906419452825	Ia.3.III, Ia.3.VI, Ia.3.V, Ia.3.I	COG2908	GC_00001783	0	0.2	0	0	0	0	0	0.1064	0.125	0.6667	0	2	5	4	2	1	7	6	47	8	3	7
Polyphosphate kinase (Ppk) (PDB:1XDO)	14.841139986481108	0.13796183955810457	0.4707906419452825	Ia.3.III, Ia.3.VI, Ia.3.V, Ia.3.I	COG0855	GC_00001775	0	0.2	0	0	0	0	0	0.1064	0.125	0.6667	0	2	5	4	2	1	7	6	47	8	3	7
Phosphatidylglycerol kinase, diacylglycerol kinase family (LCB5) (PDB:2BON) (PUBMED:17351295)	14.841139986481108	0.13796183955810457	0.4707906419452825	Ia.3.III, Ia.3.VI, Ia.3.V, Ia.3.I	COG1597	GC_00001791	0	0.2	0	0	0	0	0	0.1064	0.125	0.6667	0	2	5	4	2	1	7	6	47	8	3	7
Exopolyphosphatase/pppGpp-phosphohydrolase (GppA) (PDB:1T6C)	14.841139986481108	0.13796183955810457	0.4707906419452825	Ia.3.III, Ia.3.VI, Ia.3.V, Ia.3.I	COG0248	GC_00001786	0	0.2	0	0	0	0	0	0.1064	0.125	0.6667	0	2	5	4	2	1	7	6	47	8	3	7
Predicted alternative tryptophan synthase beta-subunit (paralog of TrpB) (PDB:6HUL)	14.631074126988663	0.14610226942801136	0.49500840332395274	Ia.3.I	COG1350	GC_00003581	0	0	0	0	0	0	0	0.0213	0	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, DUF1015 family	14.631074126988663	0.14610226942801136	0.49500840332395274	Ia.3.I	COG4198	GC_00003530	0	0	0	0	0	0	0	0.0213	0	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
ADP-ribose pyrophosphatase YjhB, NUDIX family (YjhB) (PDB:3GZ5)	14.631074126988663	0.14610226942801136	0.49500840332395274	Ia.3.I	COG1051	GC_00006411, GC_00006884	0	0	0	0	0	0	0	0.0213	0	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
ABC-type polar amino acid transport system, ATPase component (GlnQ) (PDB:4YMS)	14.49122198104378	0.15174109353259796	0.4963852324066447	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG1126	GC_00000235, GC_00001493	1	1	1	1	1	1	0.8333	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
ABC-type amino acid transport system, permease component (BatB)	14.49122198104378	0.15174109353259796	0.4963852324066447	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG4597	GC_00000864	1	1	1	1	1	1	0.8333	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Pyruvate kinase (PykF) (PDB:6QXL)!!!Phosphohistidine swiveling domain of PEP-utilizing enzymes (PykA2) (PDB:2E28)	14.49122198104372	0.15174109353260046	0.4963852324066447	Ia.3.II	COG0469!!!COG3848	GC_00006694	0	0	0	0	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)!!!Predicted SAM-depedendent methyltransferase	14.49122198104372	0.15174109353260046	0.4963852324066447	Ia.3.II	COG0463!!!COG4627	GC_00006009	0	0	0	0	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components (CydC)	14.49122198104372	0.15174109353260046	0.4963852324066447	Ia.3.II	COG4987	GC_00007529	0	0	0	0	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Predicted O-linked N-acetylglucosamine transferase, SPINDLY family (Spy) (PDB:2JLB)!!!Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)!!!Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)	14.49122198104372	0.15174109353260046	0.4963852324066447	Ia.3.II	COG3914!!!COG4783!!!COG5010	GC_00006215	0	0	0	0	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Inorganic pyrophosphatase (Ppa) (PDB:117E)	14.49122198104372	0.15174109353260046	0.4963852324066447	Ia.3.II	COG0221	GC_00004592	0	0	0	0	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Glucose/arabinose dehydrogenase, beta-propeller fold (YliI) (PDB:1C9U)!!!Cytochrome c2 (Cyc7) (PDB:1YEA)	14.49122198104372	0.15174109353260046	0.4963852324066447	Ia.3.II	COG2133!!!COG3474	GC_00004947	0	0	0	0	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)!!!AAA+-type ATPase, SpoVK/Ycf46/Vps4 family (SpoVK) (PDB:3SYL)	14.49122198104372	0.15174109353260046	0.4963852324066447	Ia.3.II	COG0265!!!COG0464	GC_00004633	0	0	0	0	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Shikimate 5-dehydrogenase (AroE) (PDB:1NPD)!!!3-dehydroquinate dehydratase (AroD) (PDB:1GQN)	14.49122198104372	0.15174109353260046	0.4963852324066447	Ia.3.II	COG0169!!!COG0710	GC_00006645	0	0	0	0	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
DNA modification methylase (YhdJ) (PDB:1BOO)!!!Adenine-specific DNA methylase, contains a Zn-ribbon domain	14.49122198104372	0.15174109353260046	0.4963852324066447	Ia.3.II	COG0863!!!COG1743	GC_00007988	0	0	0	0	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
DNA utilization protein ComFC/GntX, contains phosphoribosyltransferase domain (ComFC) (PUBMED:28618091)	14.49122198104372	0.15174109353260046	0.4963852324066447	Ia.3.II	COG1040	GC_00005234	0	0	0	0	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Acetyltransferase involved in cellulose biosynthesis, CelD/BcsL family (BcsL)	14.49122198104372	0.15174109353260046	0.4963852324066447	Ia.3.II	COG5653	GC_00005051	0	0	0	0	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein YchJ, contains N- and C-terminal SEC-C domains (YchJ) (PDB:2I9W)!!!Predicted O-linked N-acetylglucosamine transferase, SPINDLY family (Spy) (PDB:2JLB)	14.49122198104372	0.15174109353260046	0.4963852324066447	Ia.3.II	COG3012!!!COG3914	GC_00005228	0	0	0	0	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Curli biogenesis system outer membrane secretion channel CsgG (CsgG) (PDB:3X2R) (PUBMED:24417346)	14.49122198104372	0.15174109353260046	0.4963852324066447	Ia.3.II	COG1462	GC_00006554	0	0	0	0	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, cotains an aminopeptidase-like domain (PDB:3K9T)	14.459602540769426	0.15304072868228813	0.49948843329104586	Ib.1, Ia.4.RS39, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V	COG4310	GC_00002423, GC_00003626, GC_00004148, GC_00004203, GC_00004209, GC_00004911, GC_00006356, GC_00007216, GC_00008015	0.5	0	0.25	0	1	0.1429	0.3333	0.1064	0.25	0	0	2	5	4	2	1	7	6	47	8	3	7
Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain (PuuD) (PDB:1L9X)	14.448175713556047	0.15351266265750296	0.49988219442019843	Ia.3.III, Ia.3.VI, Ia.3.I	COG2071	GC_00001836, GC_00002653, GC_00003125, GC_00003152, GC_00004159, GC_00004204, GC_00005257, GC_00005977, GC_00006243, GC_00006604, GC_00007897	0	0.6	0	0	0	0	0.1667	0.3404	0	0.3333	0.1429	2	5	4	2	1	7	6	47	8	3	7
Glutamate-1-semialdehyde aminotransferase (HemL) (PDB:2CFB)!!!Spore coat polysaccharide biosynthesis protein SpsF, cytidylyltransferase family (SpsF)	14.302378228563667	0.15964058752694404	0.5186496713489529	Ia.4.RS39, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I	COG0001!!!COG1861	GC_00001605, GC_00005723, GC_00007372	0	0	0.5	0	1	0.2857	0.3333	0.1277	0.25	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
Pyruvate kinase (PykF) (PDB:6QXL)	14.077714583432565	0.1694762297145372	0.5468947852061788	Ia.3.II, Ia.1.I	COG0469	GC_00003793, GC_00003952, GC_00004979	0	0	0	0	0	0	0.1667	0.0213	0	0	0.2857	2	5	4	2	1	7	6	47	8	3	7
ATP sulfurylase (sulfate adenylyltransferase) (MET3) (PDB:1G8F)	14.077714583432565	0.1694762297145372	0.5468947852061788	Ia.3.II, Ia.1.I	COG2046	GC_00003935, GC_00006719, GC_00007191	0	0	0	0	0	0	0.1667	0.0213	0	0	0.2857	2	5	4	2	1	7	6	47	8	3	7
Acetamidase/formamidase (FmdA) (PDB:2F4L)	14.077465099249231	0.16948742113557616	0.5468947852061788	Ia.3.III, Ia.1.I	COG2421	GC_00003911	0	0.2	0	0	0	0	0	0	0	0	0.1429	2	5	4	2	1	7	6	47	8	3	7
O-antigen ligase (RfaL)	13.91897501588642	0.17671959505157403	0.5687260744518914	Ib.1, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.I	COG3307	GC_00001903, GC_00002064, GC_00002575, GC_00003814, GC_00004195, GC_00004495, GC_00004803, GC_00006004, GC_00006250, GC_00006427, GC_00007541, GC_00007858	0.5	0	0	0.5	0	0	0.5	0.3404	0.125	0.6667	0.1429	2	5	4	2	1	7	6	47	8	3	7
Glutamate-1-semialdehyde aminotransferase (HemL) (PDB:2CFB)	13.911808026085671	0.1770524602826338	0.5687260744518914	Ia.4.RS39, Ia.3.VI	COG0001	GC_00001811, GC_00002381, GC_00002934, GC_00003179, GC_00004501, GC_00004754, GC_00008089	0	0	0.5	0	0	0	0	0.3404	0.125	0	0.1429	2	5	4	2	1	7	6	47	8	3	7
NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC (FlaA1) (PDB:2GN4)	13.846014839206896	0.1801319296088465	0.5773147203454697	Ib.1, Ia.4.1483, Ia.4.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG1086	GC_00001552, GC_00001664, GC_00001763, GC_00001787, GC_00001831, GC_00001962, GC_00002410, GC_00003823, GC_00004113, GC_00004667, GC_00005249, GC_00005352, GC_00005565, GC_00005731, GC_00006175, GC_00006762, GC_00006811, GC_00006976, GC_00007250, GC_00007346	1	0.4	0.5	0.5	1	1	0.6667	0.6809	0.75	1	0.2857	2	5	4	2	1	7	6	47	8	3	7
Histidinol phosphatase/D-glycero-mannoheptose bisphosphatephosphatase, HAD superfamily (HisB1/GmhB) (PDB:2GMW) (PUBMED:20050615;20050614)!!!NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s (GCD1) (PDB:6JQ8)	13.712627613912487	0.18650766238667044	0.5964054012949034	Ib.1, Ia.3.II, Ia.3.VI, Ia.3.I	COG0241!!!COG1208	GC_00002788, GC_00003015, GC_00003490, GC_00004136, GC_00004491, GC_00005058, GC_00005394, GC_00006066, GC_00006106, GC_00006337, GC_00006495, GC_00007348	0.5	0	0	0	0	0	0.3333	0.2128	0.125	0.6667	0	2	5	4	2	1	7	6	47	8	3	7
Adenylylsulfate kinase or related kinase (CysC) (PDB:2GKS)	13.68369207264618	0.18791436412993998	0.5995563680648085	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.II, Ia.3.I	COG0529	GC_00002586, GC_00003178, GC_00003206, GC_00004026, GC_00004082, GC_00004448, GC_00004554, GC_00004663, GC_00005348, GC_00005357, GC_00005380, GC_00005668, GC_00006717, GC_00007154, GC_00007396	0.5	0.6	0.5	0	0	0	0.3333	0.1915	0	0.3333	0.1429	2	5	4	2	1	7	6	47	8	3	7
Predicted enzyme involved in methoxymalonyl-ACP biosynthesis (FkbH)	13.377259449328676	0.20333685074237526	0.6473117194774048	Ia.4.RS39, Ia.3.VI	COG3882	GC_00002035, GC_00003120, GC_00006190, GC_00006668, GC_00007361	0	0	0.5	0	0	0	0	0.1915	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Superfamily I DNA and/or RNA helicase (DNA2) (PDB:2GJK)!!!Predicted nuclease, RecB family	13.259610891251759	0.2095167454905669	0.6654962697166891	Ib.1, Ia.3.IV, Ia.3.VI	COG1112!!!COG2251	GC_00001568, GC_00002833, GC_00005942	0.5	0	0	0.5	0	0	0.1667	0.3191	0	0	0.1429	2	5	4	2	1	7	6	47	8	3	7
RecA-family ATPase (RepA)	13.213239929042997	0.2119925430499752	0.6718605540314359	Ia.3.VI	COG3598	GC_00002365, GC_00002634, GC_00002750, GC_00003568, GC_00005200	0	0	0	0	0	0	0	0.2553	0	0	0	2	5	4	2	1	7	6	47	8	3	7
